t,mid,q,x,pnl,sigma,spread
1.72291e+09,0.00763212,369,-0.561258,2.25499,3.37898e-06,2.00193e-06
1.72291e+09,0.0075749,372,-0.584595,2.23327,3.13333e-06,2.00117e-06
1.72291e+09,0.00759034,368,-0.554287,2.23896,3.01199e-06,2.00063e-06
1.72291e+09,0.00766592,350,-0.417534,2.26554,2.67068e-06,2.00014e-06
1.72291e+09,0.00767506,312,-0.126638,2.26798,2.62633e-06,2.00227e-06
1.72291e+09,0.0076408,320,-0.187851,2.25721,2.61648e-06,2.00191e-06
1.72291e+09,0.00771023,319,-0.179575,2.27999,2.67044e-06,2.00163e-06
1.72291e+09,0.00768868,338,-0.326112,2.27266,2.58624e-06,2.0012e-06
1.72291e+09,0.00769696,315,-0.148442,2.2761,2.50883e-06,2.00081e-06
1.72291e+09,0.0076379,332,-0.278672,2.25711,2.48354e-06,2.00049e-06
1.72291e+09,0.0076798,342,-0.355169,2.27132,2.20245e-06,2.00014e-06
1.72291e+09,0.0076794,367,-0.547587,2.27075,2.35882e-06,2.00189e-06
1.72291e+09,0.0077201,388,-0.709031,2.28637,2.79558e-06,2.00226e-06
1.72291e+09,0.0076964,396,-0.769685,2.27809,2.75236e-06,2.00181e-06
1.72291e+09,0.0077071,418,-0.939202,2.28236,2.28184e-06,2.00099e-06
1.72292e+09,0.00773693,427,-1.00879,2.29488,2.17839e-06,2.00066e-06
1.72292e+09,0.0076711,480,-1.41692,2.26521,2.12748e-06,2.0004e-06
1.72292e+09,0.00770459,492,-1.50888,2.28178,1.88805e-06,2.00014e-06
1.72292e+09,0.0076194,539,-1.86927,2.23759,1.93044e-06,2.0013e-06
1.72292e+09,0.007704,525,-1.76129,2.28331,2.03065e-06,2.00123e-06
1.72292e+09,0.00774778,526,-1.76876,2.30657,2.27334e-06,2.00129e-06
1.72292e+09,0.00777599,543,-1.90079,2.32158,2.38599e-06,2.00113e-06
1.72292e+09,0.00782562,503,-1.58798,2.3483,2.39099e-06,2.00085e-06
1.72292e+09,0.0077982,516,-1.68935,2.33452,2.31589e-06,2.00053e-06
1.72292e+09,0.0078281,501,-1.57211,2.34977,2.44895e-06,2.0003e-06
1.72292e+09,0.00797329,488,-1.46911,2.42186,2.87912e-06,2.00298e-06
1.72292e+09,0.00795201,486,-1.45232,2.41236,3.19284e-06,2.00315e-06
1.72292e+09,0.00792164,473,-1.34848,2.39846,3.06489e-06,2.00244e-06
1.72292e+09,0.0079308,472,-1.34066,2.40268,3.00224e-06,2.00189e-06
1.72292e+09,0.00787699,483,-1.42777,2.37681,3.04542e-06,2.00148e-06
1.72292e+09,0.0079938,458,-1.2301,2.43106,2.86331e-06,2.0009e-06
1.72292e+09,0.0081122,416,-0.891141,2.48354,3.06276e-06,2.00056e-06
1.72292e+09,0.00809854,423,-0.947561,2.47812,3.19553e-06,2.00009e-06
1.72292e+09,0.008169,361,-0.443491,2.50552,3.13725e-06,2.00314e-06
1.72292e+09,0.00803839,449,-1.15474,2.45449,2.8989e-06,2.00226e-06
1.72293e+09,0.0080785,417,-0.897541,2.47119,2.48939e-06,2.00136e-06
1.72293e+09,0.00809738,399,-0.751972,2.47888,2.47859e-06,2.00104e-06
1.72293e+09,0.0080806,386,-0.646455,2.47266,3.15094e-06,2.00118e-06
